ABL1,NM_005157
IL31RA,NM_139017
IL6ST,NM_002184
ANKRD55,NM_024669
SETD9,NM_153706
MIER3,NM_001297599
GPBP1,NM_022913
ACTBL2,NM_001017992
GAPT,NM_001304431
RAB3C,NM_138453
PDE4D,NM_001104631
DEPDC1B,NM_018369
ELOVL7,NM_024930
ERCC8,NM_000082
NDUFAF2,NM_174889
SMIM15,NM_001048249
ZSWIM6,NM_020928
KIF2A,NM_001098511
DIMT1,NM_014473
IPO11,NM_016338
LRRC70,NM_181506
HTR1A,NM_000524
RNF180,NM_001113561
RGS7BP,NM_001029875
SHISAL2B,NM_001164442
SREK1IP1,NM_173829
CWC27,NM_005869
ADAMTS6,NM_197941
CENPK,NM_022145
PPWD1,NM_015342
TRIM23,NM_001656
TRAPPC13,NM_024941
SHLD3,NM_001365341
SGTB,NM_019072
NLN,NM_020726
ERBIN,NM_001253697
SREK1,NM_001077199
MAST4,NM_001164664
CD180,NM_005582
SLC30A5,NM_022902
CCNB1,NM_031966
CENPH,NM_022909
MRPS36,NM_033281
CDK7,NM_001799
CCDC125,NM_176816
AK6,NM_016283
TAF9,NM_003187
RAD17,NM_133338
MARVELD2,NM_001038603
OCLN,NM_001205254
GTF2H2C,NM_001376000
SERF1B,NM_022978
SMN2,NM_017411
SERF1A,NM_022968
SMN1,NM_000344
NAIP,NM_004536
BDP1,NM_018429
MCCC2,NM_022132
CARTPT,NM_004291
MAP1B,NM_005909
MRPS27,NM_015084
PTCD2,NM_024754
ZNF366,NM_152625
TNPO1,NM_002270
FCHO2,NM_138782
TMEM171,NM_173490
TMEM174,NM_153217
FOXD1,NM_004472
BTF3,NM_001037637
ANKRA2,NM_023039
UTP15,NM_032175
ARHGEF28,NM_001177693
ENC1,NM_003633
HEXB,NM_000521
GFM2,NM_032380
NSA2,NM_014886
FAM169A,NM_001376049
GCNT4,NM_001366737
ANKRD31,NM_001372053
HMGCR,NM_000859
CERT1,NM_001379029
ANKDD1B,NM_001276713
POC5,NM_001099271
SV2C,NM_014979
IQGAP2,NM_006633
F2RL2,NM_004101
F2R,NM_001992
F2RL1,NM_005242
S100Z,NM_130772
CRHBP,NM_001882
AGGF1,NM_018046
ZBED3,NM_032367
PDE8B,NM_003719
WDR41,NM_018268
OTP,NM_032109
TBCA,NM_004607
AP3B1,NM_003664
SCAMP1,NM_004866
LHFPL2,NM_005779
ARSB,NM_000046
DMGDH,NM_013391
BHMT2,NM_017614
BHMT,NM_001713
JMY,NM_152405
HOMER1,NM_004272
TENT2,NM_001114394
CMYA5,NM_153610
MTX3,NM_001363818
THBS4,NM_003248
SERINC5,NM_001174072
SPZ1,NM_032567
ZFYVE16,NM_001284236
FAM151B,NM_205548
ANKRD34B,NM_001004441
DHFR,NM_000791
RASGRF2,NM_006909
CKMT2,NM_001099735
ZCCHC9,NM_001131035
ACOT12,NM_130767
SSBP2,NM_012446
ATG10,NM_031482
RPS23,NM_001025
TMEM167A,NM_174909
XRCC4,NM_003401
VCAN,NM_004385
HAPLN1,NM_001884
EDIL3,NM_005711
COX7C,NM_001867
CCNH,NM_001239
TMEM161B,NM_153354
MEF2C,NM_002397
CETN3,NM_004365
MBLAC2,NM_203406
POLR3G,NM_006467
LYSMD3,NM_198273
ADGRV1,NM_032119
ARRDC3,NM_020801
NR2F1,NM_005654
FAM172A,NM_032042
POU5F2,NM_153216
KIAA0825,NM_001145678
SLF1,NM_032290
MCTP1,NM_024717
FAM81B,NM_152548
TTC37,NM_014639
ARSK,NM_198150
GPR150,NM_199243
RFESD,NM_001131066
SPATA9,NM_031952
RHOBTB3,NM_014899
GLRX,NM_001118890
ELL2,NM_012081
PCSK1,NM_000439
CAST,NM_001750
ERAP1,NM_001040458
ERAP2,NM_022350
LNPEP,NM_005575
LIX1,NM_153234
RIOK2,NM_018343
RGMB,NM_001366508
CHD1,NM_001270
FAM174A,NM_198507
ST8SIA4,NM_005668
SLCO4C1,NM_180991
SLCO6A1,NM_173488
PAM,NM_001177306
GIN1,NM_017676
PPIP5K2,NM_001276277
MACIR,NM_033211
NUDT12,NM_031438
EFNA5,NM_001962
FBXL17,NM_001163315
FER,NM_005246
PJA2,NM_014819
MAN2A1,NM_002372
TMEM232,NM_001039763
SLC25A46,NM_138773
TSLP,NM_033035
WDR36,NM_139281
CAMK4,NM_001744
STARD4,NM_139164
NREP,NM_004772
EPB41L4A,NM_022140
SRP19,NM_003135
REEP5,NM_005669
DCP2,NM_152624
MCC,NM_001085377
TSSK1B,NM_032028
YTHDC2,NM_022828
KCNN2,NM_021614
TRIM36,NM_001300759
PGGT1B,NM_005023
CCDC112,NM_001040440
FEM1C,NM_020177
TICAM2,NM_021649
TMED7,NM_181836
CDO1,NM_001801
ATG12,NM_004707
AP3S1,NM_001284
LVRN,NM_173800
ARL14EPL,NM_001195581
COMMD10,NM_016144
SEMA6A,NM_020796
DTWD2,NM_173666
DMXL1,NM_001290321
TNFAIP8,NM_014350
HSD17B4,NM_000414
PRR16,NM_001300783
FTMT,NM_177478
SRFBP1,NM_152546
LOX,NM_002317
ZNF474,NM_207317
CTC-441N14.4,NM_001195535
SNCAIP,NM_005460
SNX2,NM_003100
SNX24,NM_014035
PPIC,NM_000943
PRDM6,NM_001136239
CEP120,NM_001375405
ZNF608,NM_020747
GRAMD2B,NM_023927
ALDH7A1,NM_001182
PHAX,NM_032177
TEX43,NM_207408
LMNB1,NM_005573
MARCHF3,NM_178450
C5orf63,NM_001164478
MEGF10,NM_001256545
PRRC1,NM_130809
CTXN3,NM_001048252
CCDC192,NM_001317938
SLC12A2,NM_001046
FBN2,NM_001999
SLC27A6,NM_001017372
ISOC1,NM_016048
ADAMTS19,NM_133638
MINAR2,NM_001257308
CHSY3,NM_175856
HINT1,NM_005340
LYRM7,NM_181705
CDC42SE2,NM_001375635
RAPGEF6,NM_016340
FNIP1,NM_133372
MEIKIN,NM_001303622
ACSL6,NM_001009185
IL3,NM_000588
CSF2,NM_000758
P4HA2,NM_001017974
PDLIM4,NM_003687
SLC22A4,NM_003059
SLC22A5,NM_003060
IRF1,NM_002198
IL5,NM_000879
IL13,NM_002188
IL4,NM_000589
KIF3A,NM_001300791
CCNI2,NM_001039780
SEPTIN8,NM_001098811
SOWAHA,NM_175873
SHROOM1,NM_001172700
GDF9,NM_005260
UQCRQ,NM_014402
LEAP2,NM_052971
AFF4,NM_014423
ZCCHC10,NM_001300816
HSPA4,NM_002154
FSTL4,NM_015082
C5orf15,NM_020199
VDAC1,NM_003374
TCF7,NM_003202
SKP1,NM_170679
PPP2CA,NM_002715
CDKL3,NM_001113575
UBE2B,NM_003337
CDKN2AIPNL,NM_080656
JADE2,NM_001388185
SAR1B,NM_016103
SEC24A,NM_021982
CAMLG,NM_001745
DDX46,NM_001300860
C5orf24,NM_001135586
TXNDC15,NM_024715
PCBD2,NM_032151
CATSPER3,NM_178019
PITX1,NM_002653
MACROH2A1,NM_138610
DCANP1,NM_130848
TIFAB,NM_001099221
NEUROG1,NM_006161
CXCL14,NM_004887
SLC25A48,NM_001349336
IL9,NM_000590
LECT2,NM_002302
TGFBI,NM_000358
SMAD5,NM_005903
SMIM32,NM_001350994
TRPC7,NM_020389
SPOCK1,NM_004598
KLHL3,NM_017415
HNRNPA0,NM_006805
MYOT,NM_006790
PKD2L2,NM_001300921
FAM13B,NM_001385994
WNT8A,NM_001300939
NME5,NM_003551
BRD8,NM_139199
KIF20A,NM_005733
CDC23,NM_004661
GFRA3,NM_001496
CDC25C,NM_001790
FAM53C,NM_016605
KDM3B,NM_016604
REEP2,NM_001271803
EGR1,NM_001964
ETF1,NM_004730
HSPA9,NM_004134
CTNNA1,NM_001903
LRRTM2,NM_015564
SIL1,NM_022464
MATR3,NM_018834
PAIP2,NM_016480
SLC23A1,NM_005847
MZB1,NM_016459
PROB1,NM_001161546
SPATA24,NM_194296
DNAJC18,NM_152686
ECSCR,NM_001077693
SMIM33,NM_001365197
STING1,NM_198282
UBE2D2,NM_003339
CXXC5,NM_016463
PSD2,NM_032289
NRG2,NM_004883
PURA,NM_005859
IGIP,NM_001007189
CYSTM1,NM_032412
PFDN1,NM_002622
HBEGF,NM_001945
SLC4A9,NM_031467
ANKHD1,NM_017747
SRA1,NM_001035235
EIF4EBP3,NM_003732
APBB3,NM_133173
SLC35A4,NM_080670
CD14,NM_000591
NDUFA2,NM_002488
TMCO6,NM_018502
IK,NM_006083
WDR55,NM_017706
DND1,NM_194249
HARS1,NM_002109
HARS2,NM_012208
ZMAT2,NM_144723
PCDHA1,NM_018900
PCDHA2,NM_018905
PCDHA3,NM_018906
PCDHA4,NM_018907
PCDHA5,NM_018908
PCDHA6,NM_018909
PCDHA7,NM_018910
PCDHA8,NM_018911
PCDHA9,NM_031857
PCDHA10,NM_018901
PCDHA11,NM_018902
PCDHA12,NM_018903
PCDHA13,NM_018904
PCDHAC1,NM_018898
PCDHAC2,NM_018899
PCDHB1,NM_013340
PCDHB2,NM_018936
PCDHB3,NM_018937
PCDHB4,NM_018938
PCDHB5,NM_015669
PCDHB6,NM_018939
PCDHB7,NM_018940
PCDHB8,NM_019120
PCDHB16,NM_020957
PCDHB9,NM_019119
PCDHB10,NM_018930
PCDHB11,NM_018931
PCDHB12,NM_018932
PCDHB13,NM_018933
PCDHB14,NM_018934
PCDHB15,NM_018935
TAF7,NM_005642
SLC25A2,NM_031947
PCDHGA1,NM_018912
PCDHGA2,NM_018915
PCDHGA3,NM_018916
PCDHGB1,NM_018922
PCDHGA4,NM_018917
PCDHGB2,NM_018923
PCDHGA5,NM_018918
PCDHGB3,NM_018924
PCDHGA6,NM_018919
PCDHGA7,NM_018920
PCDHGB4,NM_003736
PCDHGA8,NM_032088
PCDHGB5,NM_018925
PCDHGA9,NM_018921
PCDHGB6,NM_018926
PCDHGA10,NM_018913
PCDHGB7,NM_018927
PCDHGA11,NM_018914
PCDHGA12,NM_003735
PCDHGC3,NM_002588
PCDHGC4,NM_018928
PCDHGC5,NM_018929
DIAPH1,NM_005219
HDAC3,NM_003883
RELL2,NM_173828
FCHSD1,NM_033449
ARAP3,NM_022481
PCDH1,NM_032420
DELE1,NM_014773
PCDH12,NM_016580
RNF14,NM_004290
GNPDA1,NM_005471
NDFIP1,NM_030571
SPRY4,NM_001127496
FGF1,NM_000800
ARHGAP26,NM_001135608
NR3C1,NM_000176
HMHB1,NM_021182
YIPF5,NM_030799
KCTD16,NM_020768
PRELID2,NM_205846
GRXCR2,NM_001080516
SH3RF2,NM_152550
PLAC8L1,NM_001029869
LARS1,NM_020117
RBM27,NM_018989
POU4F3,NM_002700
TCERG1,NM_001382548
GPR151,NM_194251
PPP2R2B,NM_181675
STK32A,NM_001112724
DPYSL3,NM_001197294
JAKMIP2,NM_001270941
SPINK1,NM_001379610
SCGB3A2,NM_054023
C5orf46,NM_206966
SPINK5,NM_006846
SPINK14,NM_001001325
SPINK6,NM_205841
MARCOL,NM_001363511
SPINK13,NM_001040129
SPINK7,NM_032566
SPINK9,NM_001040433
FBXO38,NM_205836
HTR4,NM_000870
ADRB2,NM_000024
SH3TC2,NM_024577
ABLIM3,NM_014945
AFAP1L1,NM_152406
GRPEL2,NM_152407
PCYOX1L,NM_024028
IL17B,NM_014443
CSNK1A1,NM_001892
ARHGEF37,NM_001001669
PPARGC1B,NM_133263
PDE6A,NM_000440
SLC26A2,NM_000112
TIGD6,NM_030953
HMGXB3,NM_014983
CDX1,NM_001804
SLC6A7,NM_014228
CAMK2A,NM_015981
ARSI,NM_001012301
TCOF1,NM_001371623
CD74,NM_001025159
RPS14,NM_005617
NDST1,NM_001543
SYNPO,NM_007286
MYOZ3,NM_001122853
RBM22,NM_018047
DCTN4,NM_016221
SMIM3,NM_032947
IRGM,NM_001145805
ZNF300,NM_052860
GPX3,NM_002084
TNIP1,NM_006058
ANXA6,NM_001155
CCDC69,NM_015621
GM2A,NM_000405
SLC36A3,NM_181774
SLC36A2,NM_181776
SLC36A1,NM_078483
FAT2,NM_001447
SPARC,NM_003118
ATOX1,NM_004045
G3BP1,NM_005754
GLRA1,NM_000171
NMUR2,NM_020167
GRIA1,NM_000827
FAM114A2,NM_018691
MFAP3,NM_005927
GALNT10,NM_198321
SAP30L,NM_024632
HAND1,NM_004821
LARP1,NM_033551
FAXDC2,NM_032385
CNOT8,NM_001301073
GEMIN5,NM_015465
MRPL22,NM_014180
KIF4B,NM_001099293
SGCD,NM_000337
PPP1R2B,NM_206858
TIMD4,NM_138379
HAVCR1,NM_001173393
HAVCR2,NM_032782
MED7,NM_004270
ITK,NM_005546
FAM71B,NM_130899
CYFIP2,NM_001037333
FNDC9,NM_001001343
ADAM19,NM_033274
NIPAL4,NM_001099287
SOX30,NM_178424
C5orf52,NM_001145132
THG1L,NM_017872
LSM11,NM_173491
CLINT1,NM_014666
EBF1,NM_024007
RNF145,NM_001199383
UBLCP1,NM_145049
IL12B,NM_002187
ADRA1B,NM_000679
TTC1,NM_003314
PWWP2A,NM_001130864
FABP6,NM_001445
CCNJL,NM_001308173
C1QTNF2,NM_031908
ZBED8,NM_022090
SLU7,NM_006425
PTTG1,NM_004219
ATP10B,NM_025153
GABRB2,NM_001371727
GABRA6,NM_000811
GABRA1,NM_001127644
GABRG2,NM_198904
CCNG1,NM_004060
NUDCD2,NM_145266
HMMR,NM_001142556
MAT2B,NM_013283
WWC1,NM_015238
RARS1,NM_002887
FBLL1,NM_001355274
PANK3,NM_024594
SLIT3,NM_003062
SPDL1,NM_017785
DOCK2,NM_004946
INSYN2B,NM_001129891
FOXI1,NM_012188
C5orf58,NM_001102609
LCP2,NM_005565
KCNIP1,NM_014592
KCNMB1,NM_004137
GABRP,NM_014211
RANBP17,NM_022897
TLX3,NM_021025
FGF18,NM_003862
SMIM23,NM_001289970
FBXW11,NM_001378974
STK10,NM_005990
EFCAB9,NM_001171183
UBTD2,NM_152277
SH3PXD2B,NM_001017995
NEURL1B,NM_001142651
DUSP1,NM_004417
ERGIC1,NM_001031711
RPL26L1,NM_016093
ATP6V0E1,NM_003945
CREBRF,NM_153607
BNIP1,NM_001205
NKX2-5,NM_004387
STC2,NM_003714
BOD1,NM_138369
CPEB4,NM_030627
C5orf47,NM_001144954
NSG2,NM_015980
MSX2,NM_002449
DRD1,NM_000794
SFXN1,NM_022754
HRH2,NM_001367711
CPLX2,NM_001008220
THOC3,NM_032361
SIMC1,NM_001308195
KIAA1191,NM_020444
ARL10,NM_173664
NOP16,NM_016391
HIGD2A,NM_138820
CLTB,NM_007097
FAF2,NM_014613
RNF44,NM_014901
CDHR2,NM_017675
GPRIN1,NM_052899
SNCB,NM_003085
EIF4E1B,NM_001099408
TSPAN17,NM_130465
UNC5A,NM_133369
HK3,NM_002115
UIMC1,NM_001199298
ZNF346,NM_012279
RAB24,NM_001031677
MXD3,NM_031300
PRELID1,NM_013237
LMAN2,NM_006816
RGS14,NM_006480
SLC34A1,NM_003052
PFN3,NM_001029886
F12,NM_000505
GRK6,NM_001004106
PRR7,NM_030567
DBN1,NM_001363541
PDLIM7,NM_005451
DOK3,NM_001308236
DDX41,NM_016222
FAM193B,NM_001190946
TMED9,NM_017510
B4GALT7,NM_007255
PROP1,NM_006261
N4BP3,NM_015111
RMND5B,NM_022762
NHP2,NM_017838
GMCL2,NM_001358008
HNRNPAB,NM_031266
PHYKPL,NM_153373
COL23A1,NM_173465
CLK4,NM_020666
ZNF354A,NM_005649
ZNF354B,NM_058230
ZFP2,NM_030613
ZNF454,NM_001178089
GRM6,NM_000843
ZNF879,NM_001136116
ZNF354C,NM_014594
ADAMTS2,NM_014244
RUFY1,NM_025158
CBY3,NM_001164444
CANX,NM_001746
MAML1,NM_014757
LTC4S,NM_145867
MGAT4B,NM_014275
SQSTM1,NM_003900
MRNIP,NM_016175
TBC1D9B,NM_015043
RNF130,NM_018434
RASGEF1C,NM_175062
MAPK9,NM_002752
GFPT2,NM_005110
CNOT6,NM_001370472
SCGB3A1,NM_052863
OR2Y1,NM_001001657
MGAT1,NM_002406
ZFP62,NM_001172638
BTNL8,NM_001040462
BTNL3,NM_197975
BTNL9,NM_152547
OR2V1,NM_001258283
OR2V2,NM_206880
TRIM7,NM_203293
TRIM41,NM_033549
RACK1,NM_006098
TRIM52,NM_001346048
DUSP22,NM_001286555
EXOC2,NM_018303
HUS1B,NM_148959
FOXQ1,NM_033260
FOXF2,NM_001452
FOXC1,NM_001453
GMDS,NM_001500
MYLK4,NM_001012418
WRNIP1,NM_020135
SERPINB1,NM_030666
SERPINB9,NM_004155
SERPINB6,NM_004568
NQO2,NM_000904
RIPK1,NM_001354930
BPHL,NM_004332
TUBB2A,NM_001069
TUBB2B,NM_178012
PSMG4,NM_001128591
SLC22A23,NM_015482
PXDC1,NM_183373
FAM50B,NM_012135
PRPF4B,NM_003913
FAM217A,NM_173563
ECI2,NM_206836
CDYL,NM_004824
RPP40,NM_006638
PPP1R3G,NM_001145115
LYRM4,NM_020408
FARS2,NM_006567
NRN1,NM_016588
F13A1,NM_000129
LY86,NM_004271
RREB1,NM_001003699
SSR1,NM_003144
CAGE1,NM_001170692
RIOK1,NM_031480
DSP,NM_004415
SNRNP48,NM_152551
BMP6,NM_001718
TXNDC5,NM_030810
BLOC1S5,NM_201280
EEF1E1,NM_004280
SLC35B3,NM_001370476
TFAP2A,NM_001372066
GCNT2,NM_145649
C6orf52,NM_001145020
PAK1IP1,NM_017906
TMEM14C,NM_016462
TMEM14B,NM_030969
MAK,NM_001242957
GCM2,NM_004752
SYCP2L,NM_001040274
ELOVL2,NM_017770
SMIM13,NM_001135575
ERVFRD-1,NM_207582
NEDD9,NM_006403
TMEM170B,NM_001100829
ADTRP,NM_032744
HIVEP1,NM_002114
EDN1,NM_001955
PHACTR1,NM_030948
TBC1D7,NM_016495
GFOD1,NM_018988
SIRT5,NM_012241
NOL7,NM_016167
RANBP9,NM_005493
MCUR1,NM_001031713
RNF182,NM_152737
CD83,NM_004233
JARID2,NM_004973
DTNBP1,NM_032122
MYLIP,NM_013262
GMPR,NM_006877
ATXN1,NM_001128164
STMND1,NM_001190766
RBM24,NM_001143942
CAP2,NM_006366
FAM8A1,NM_016255
NUP153,NM_005124
KIF13A,NM_022113
NHLRC1,NM_198586
TPMT,NM_000367
KDM1B,NM_001364614
DEK,NM_003472
RNF144B,NM_182757
ID4,NM_001546
MBOAT1,NM_001080480
CDKAL1,NM_017774
SOX4,NM_003107
PRL,NM_000948
HDGFL1,NM_138574
NRSN1,NM_080723
DCDC2,NM_016356
KAAG1,NM_181337
MRS2,NM_020662
GPLD1,NM_001503
ALDH5A1,NM_001080
KIAA0319,NM_014809
TDP2,NM_016614
ACOT13,NM_018473
C6orf62,NM_030939
GMNN,NM_015895
ARMH2,NM_001282492
RIPOR2,NM_001286445
CARMIL1,NM_017640
SCGN,NM_006998
H2AC1,NM_170745
H2BC1,NM_170610
SLC17A4,NM_005495
SLC17A1,NM_005074
SLC17A3,NM_001098486
SLC17A2,NM_001286123
TRIM38,NM_006355
H1-1,NM_005325
H3C1,NM_003529
H4C1,NM_003538
H4C2,NM_003544
H3C2,NM_003537
H2AC4,NM_003513
H2BC3,NM_021062
H3C3,NM_003531
H1-2,NM_005319
HFE,NM_000410
H4C3,NM_003542
H1-6,NM_005323
H2BC4,NM_003526
H2AC6,NM_003512
H1-4,NM_005321
H2BC5,NM_021063
H2BC6,NM_003523
H4C4,NM_003539
H3C4,NM_001376937
H2AC7,NM_021065
H2BC7,NM_003522
H4C5,NM_003545
H2BC8,NM_003518
H3C6,NM_003532
H1-3,NM_005320
H4C6,NM_003540
H4C7,NM_003547
H3C7,NM_021018
H2BC9,NM_003524
H3C8,NM_003534
H2BC10,NM_003525
H4C8,NM_003543
BTN3A2,NM_007047
BTN2A2,NM_006995
BTN3A1,NM_007048
BTN3A3,NM_006994
BTN2A1,NM_007049
BTN1A1,NM_001732
HMGN4,NM_006353
ABT1,NM_013375
ZNF322,NM_024639
H2BC11,NM_021058
H2AC11,NM_021064
H4C9,NM_003495
H2BC12,NM_001312653
H2AC12,NM_080596
PRSS16,NM_005865
POM121L2,NM_033482
ZNF391,NM_001076781
ZNF184,NM_001318891
H2BC13,NM_003519
H2AC13,NM_003509
H3C10,NM_003536
H2AC14,NM_021066
H2BC14,NM_003521
H4C11,NM_021968
H4C12,NM_003541
H2AC15,NM_003510
H2BC15,NM_003520
H2AC16,NM_003511
H1-5,NM_005322
H3C11,NM_003533
H4C13,NM_003546
H3C12,NM_003535
H2AC17,NM_003514
H2BC17,NM_003527
OR2B2,NM_033057
OR2B6,NM_012367
ZNF165,NM_001376491
ZSCAN16,NM_025231
ZKSCAN8,NM_006298
ZSCAN9,NM_006299
ZKSCAN4,NM_019110
NKAPL,NM_001007531
ZSCAN26,NM_001023560
PGBD1,NM_032507
ZSCAN31,NM_030899
ZKSCAN3,NM_024493
ZSCAN12,NM_001163391
ZSCAN23,NM_001012455
GPX6,NM_182701
GPX5,NM_001509
ZBED9,NM_052923
TRIM27,NM_006510
ZNF311,NM_001382360
OR2W1,NM_030903
OR2B3,NM_001005226
OR2J1,NM_001348294
OR2J3,NM_001005216
OR2J2,NM_030905
OR14J1,NM_030946
OR5V1,NM_030876
OR12D3,NM_030959
OR12D2,NM_013936
OR11A1,NM_001394828
OR10C1,NM_013941
OR2H1,NM_030883
MAS1L,NM_052967
UBD,NM_006398
GABBR1,NM_001470
OR2H2,NM_007160
MOG,NM_206809
ZFP57,NM_001109809
HLA-F,NM_001098479
HLA-G,NM_001384290
POLR1H,NM_170783
PPP1R11,NM_021959
RNF39,NM_025236
TRIM31,NM_007028
TRIM40,NM_001286633
TRIM10,NM_006778
TRIM15,NM_033229
TRIM26,NM_003449
RPP21,NM_024839
HLA-E,NM_005516
GNL1,NM_005275
PRR3,NM_025263
ABCF1,NM_001025091
PPP1R10,NM_002714
MRPS18B,NM_014046
ATAT1,NM_001031722
C6orf136,NM_001161376
DHX16,NM_003587
PPP1R18,NM_133471
NRM,NM_001384369
TUBB,NM_178014
FLOT1,NM_005803
IER3,NM_003897
DDR1,NM_001297654
GTF2H4,NM_001517
VARS2,NM_020442
SFTA2,NM_205854
MUCL3,NM_080870
MUC21,NM_001010909
C6orf15,NM_014070
PSORS1C1,NM_014068
CDSN,NM_001264
PSORS1C2,NM_014069
CCHCR1,NM_001105564
TCF19,NM_007109
POU5F1,NM_002701
MICA,NM_001177519
MICB,NM_005931
MCCD1,NM_001011700
DDX39B,NM_004640
ATP6V1G2,NM_130463
NFKBIL1,NM_005007
LTA,NM_000595
TNF,NM_000594
LTB,NM_002341
LST1,NM_205839
NCR3,NM_147130
AIF1,NM_001623
PRRC2A,NM_004638
BAG6,NM_001387994
APOM,NM_019101
C6orf47,NM_021184
GPANK1,NM_033177
CSNK2B,NM_001320
ABHD16A,NM_021160
LY6G6F,NM_001003693
LY6G6D,NM_021246
MPIG6B,NM_138272
LY6G6C,NM_025261
DDAH2,NM_001303007
MSH5,NM_172166
VWA7,NM_025258
VARS1,NM_006295
LSM2,NM_021177
HSPA1L,NM_005527
HSPA1A,NM_005345
HSPA1B,NM_005346
NEU1,NM_000434
SLC44A4,NM_025257
C2,NM_000063
ZBTB12,NM_181842
CFB,NM_001710
NELFE,NM_002904
SKIV2L,NM_006929
DXO,NM_005510
C4A,NM_007293
C4B,NM_001002029
CYP21A2,NM_000500
TNXB,NM_001365276
ATF6B,NM_004381
FKBPL,NM_022110
PRRT1,NM_030651
PPT2,NM_005155
EGFL8,NM_030652
AGPAT1,NM_006411
RNF5,NM_006913
AGER,NM_001136
PBX2,NM_002586
GPSM3,NM_001276501
BTNL2,NM_001304561
HLA-DRA,NM_019111
HLA-DRB5,NM_002125
HLA-DQA1,NM_002122
HLA-DQA2,NM_020056
HLA-DQB2,NM_001300790
HLA-DOB,NM_002120
PSMB8,NM_148919
PSMB9,NM_002800
HLA-DMB,NM_002118
HLA-DMA,NM_006120
BRD2,NM_005104
HLA-DOA,NM_002119
HLA-DPB1,NM_002121
COL11A2,NM_080680
RXRB,NM_021976
SLC39A7,NM_006979
HSD17B8,NM_014234
RING1,NM_002931
VPS52,NM_022553
RPS18,NM_022551
B3GALT4,NM_003782
WDR46,NM_005452
PFDN6,NM_001185181
RGL2,NM_004761
TAPBP,NM_003190
ZBTB22,NM_005453
SMIM40,NM_001369203
KIFC1,NM_002263
PHF1,NM_024165
CUTA,NM_001014840
SYNGAP1,NM_006772
ZBTB9,NM_152735
BAK1,NM_001188
ITPR3,NM_002224
UQCC2,NM_032340
IP6K3,NM_054111
LEMD2,NM_181336
MLN,NM_002418
GRM4,NM_000841
HMGA1,NM_145899
SMIM29,NM_001008703
NUDT3,NM_006703
RPS10,NM_001014
PACSIN1,NM_020804
SPDEF,NM_012391
ILRUN,NM_024294
SNRPC,NM_003093
UHRF1BP1,NM_017754
TAF11,NM_005643
ANKS1A,NM_015245
TCP11,NM_001370687
SCUBE3,NM_152753
ZNF76,NM_003427
DEF6,NM_022047
PPARD,NM_006238
FANCE,NM_021922
RPL10A,NM_007104
TULP1,NM_003322
FKBP5,NM_004117
ARMC12,NM_001286574
CLPSL2,NM_207409
CLPSL1,NM_001010886
CLPS,NM_001832
LHFPL5,NM_182548
SRPK1,NM_003137
SLC26A8,NM_052961
MAPK14,NM_139012
MAPK13,NM_002754
BRPF3,NM_015695
PNPLA1,NM_001374623
BNIP5,NM_001010903
ETV7,NM_016135
PXT1,NM_152990
KCTD20,NM_173562
STK38,NM_007271
SRSF3,NM_003017
RAB44,NM_001257357
CPNE5,NM_020939
PPIL1,NM_016059
C6orf89,NM_001286635
PI16,NM_153370
MTCH1,NM_001271641
FGD2,NM_173558
TBC1D22B,NM_017772
RNF8,NM_003958
CMTR1,NM_015050
CCDC167,NM_138493
MDGA1,NM_153487
ZFAND3,NM_021943
BTBD9,NM_001099272
GLO1,NM_006708
DNAH8,NM_001206927
GLP1R,NM_002062
SAYSD1,NM_018322
KCNK5,NM_003740
KCNK17,NM_031460
KCNK16,NM_001135106
KIF6,NM_145027
DAAM2,NM_001201427
MOCS1,NM_001358530
LRFN2,NM_020737
UNC5CL,NM_173561
OARD1,NM_001329686
TSPO2,NM_001010873
APOBEC2,NM_006789
NFYA,NM_002505
TREML1,NM_178174
TREM2,NM_018965
TREML2,NM_024807
TREML4,NM_198153
TREM1,NM_018643
NCR2,NM_004828
FOXP4,NM_001012426
MDFI,NM_005586
TFEB,NM_001271944
PGC,NM_002630
FRS3,NM_006653
PRICKLE4,NM_013397
TOMM6,NM_001382294
USP49,NM_001286554
MED20,NM_004275
BYSL,NM_004053
TAF8,NM_138572
C6orf132,NM_001164446
GUCA1A,NM_001384910
GUCA1ANB,NM_001384994
GUCA1B,NM_002098
MRPS10,NM_018141
UBR2,NM_001363705
PRPH2,NM_000322
TBCC,NM_003192
BICRAL,NM_001393499
RPL7L1,NM_001366481
C6orf226,NM_001008739
PTCRA,NM_138296
CNPY3,NM_006586
GNMT,NM_018960
PEX6,NM_000287
PPP2R5D,NM_006245
MEA1,NM_014623
KLHDC3,NM_057161
RRP36,NM_033112
CUL7,NM_014780
KLC4,NM_201521
MRPL2,NM_015950
PTK7,NM_002821
SRF,NM_003131
CUL9,NM_015089
DNPH1,NM_006443
TTBK1,NM_032538
SLC22A7,NM_153320
CRIP3,NM_206922
ZNF318,NM_014345
ABCC10,NM_001198934
DLK2,NM_023932
POLR1C,NM_203290
YIPF3,NM_015388
XPO5,NM_020750
POLH,NM_006502
GTPBP2,NM_019096
MAD2L1BP,NM_014628
RSPH9,NM_152732
MRPS18A,NM_018135
MRPL14,NM_032111
TMEM63B,NM_018426
CAPN11,NM_007058
MYMX,NM_001315494
SLC29A1,NM_001372327
HSP90AB1,NM_007355
SLC35B2,NM_178148
NFKBIE,NM_004556
